JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456682.60769,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.632,Z,9.206,9.755,,SN 2014J,AAVSO,STD,,,,
2456682.60805,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.630,Z,9.208,9.762,,SN 2014J,AAVSO,STD,,,,
2456682.60841,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.629,Z,9.203,9.738,,SN 2014J,AAVSO,STD,,,,
2456682.60877,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.628,Z,9.211,9.756,,SN 2014J,AAVSO,STD,,,,
2456682.60914,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.626,Z,9.214,9.750,,SN 2014J,AAVSO,STD,,,,
2456682.60948,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.625,Z,9.214,9.767,,SN 2014J,AAVSO,STD,,,,
2456682.60985,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.623,Z,9.212,9.756,,SN 2014J,AAVSO,STD,,,,
2456682.61021,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.622,Z,9.208,9.759,,SN 2014J,AAVSO,STD,,,,
2456682.61057,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.621,Z,9.210,9.758,,SN 2014J,AAVSO,STD,,,,
2456682.610822,11.130,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.209,9.873,,SN 2014J,AAVSO,STD,,,,
2456682.61093,10.89,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.619,Z,9.207,9.752,,SN 2014J,AAVSO,STD,,,,
2456682.61130,10.86,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.618,Z,9.222,9.754,,SN 2014J,AAVSO,STD,,,,
2456682.61166,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.616,Z,9.217,9.761,,SN 2014J,AAVSO,STD,,,,
2456682.61202,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.615,Z,9.216,9.764,,SN 2014J,AAVSO,STD,,,,
2456682.61238,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.613,Z,9.230,9.770,,SN 2014J,AAVSO,STD,,,,
2456682.61275,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.612,Z,9.214,9.755,,SN 2014J,AAVSO,STD,,,,
2456682.61311,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.611,Z,9.215,9.765,,SN 2014J,AAVSO,STD,,,,
2456682.61347,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.609,Z,9.215,9.767,,SN 2014J,AAVSO,STD,,,,
2456682.613565,11.129,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.186,9.851,,SN 2014J,AAVSO,STD,,,,
2456682.61382,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.608,Z,9.228,9.756,,SN 2014J,AAVSO,STD,,,,
2456682.61419,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.606,Z,9.223,9.761,,SN 2014J,AAVSO,STD,,,,
2456682.61455,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.605,Z,9.219,9.762,,SN 2014J,AAVSO,STD,,,,
2456682.61491,10.89,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.604,Z,9.214,9.762,,SN 2014J,AAVSO,STD,,,,
2456682.61527,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.602,Z,9.221,9.746,,SN 2014J,AAVSO,STD,,,,
2456682.61563,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.601,Z,9.211,9.763,,SN 2014J,AAVSO,STD,,,,
2456682.61599,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.599,Z,9.210,9.766,,SN 2014J,AAVSO,STD,,,,
2456682.616215,11.130,0.002,,V,KPK,,000-BLG-312,000-BLG-313,13177LY,,0,,Z,9.177,9.842,,SN 2014J,AAVSO,STD,,,,
2456682.61636,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.598,Z,9.222,9.759,,SN 2014J,AAVSO,STD,,,,
2456682.61672,10.87,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.597,Z,9.218,9.752,,SN 2014J,AAVSO,STD,,,,
2456682.61708,10.85,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.595,Z,9.214,9.752,,SN 2014J,AAVSO,STD,,,,
2456682.61745,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.594,Z,9.199,9.740,,SN 2014J,AAVSO,STD,,,,
2456682.61781,10.89,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.593,Z,9.206,9.750,,SN 2014J,AAVSO,STD,,,,
2456682.61818,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.591,Z,9.210,9.764,,SN 2014J,AAVSO,STD,,,,
2456682.61852,10.88,0.03,,CV,GJP,,000-BLG-312,000-BLG-313,13175CXC,,0,1.590,Z,9.214,9.754,,SN 2014J,AAVSO,STD,,,,
